"Title","URL handle","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price","Charge tax","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","SEO title","SEO description"
"SKIN1004 Madagascar Centella Ampoule","skin1004-madagascar-centella-ampoule","<p>The signature SKIN1004 ampoule and the best first product for customers who want a simple soothing step.</p><ul><li><strong>Key Ingredient:</strong> 100% Centella Asiatica</li><li><strong>What It Helps With:</strong> Soothes redness, supports acne-prone skin, and helps repair the skin barrier.</li><li><strong>Best Skin Type:</strong> All / Sensitive / Acne-prone</li></ul>","SKIN1004","Signature calming ampoule","source-static-catalog, source-id-skin1004-centella-ampoule, brand-skin1004, category-signature-calming-ampoule, skin-sensitive, skin1004, sensitive-skin, barrier-care, card-featured-pick, featured","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/centella-ampoule.png","1","SKIN1004 Madagascar Centella Ampoule bottle","SKIN1004 Madagascar Centella Ampoule","The signature SKIN1004 ampoule and the best first product for customers who want a simple soothing step. Key Ingredient: 100% Centella Asiatica What It Helps With: Soothes redness, supports acne-prone skin, and helps repair the skin barrier. Best Skin Type: All / Sensitive / Acne-prone"
"SKIN1004 Hyalu-Cica Water-Fit Sun Serum","skin1004-hyalu-cica-water-fit-sun-serum","<p>A sunscreen for customers who want hydration and daily sun protection without a sticky finish.</p><ul><li><strong>Key Ingredient:</strong> Hyaluronic Acid + Centella</li><li><strong>What It Helps With:</strong> Deep hydration plus SPF 50 protection without feeling sticky.</li><li><strong>Best Skin Type:</strong> Dry / Dehydrated</li></ul>","SKIN1004","Hydrating daily sunscreen","source-static-catalog, source-id-skin1004-hyalu-cica-water-fit-sun-serum, brand-skin1004, category-hydrating-daily-sunscreen, skin-dry, sun-protection, hydration, daily-use, card-bestseller","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/hyalu-cica-sun-serum.png","1","SKIN1004 Hyalu-Cica Water-Fit Sun Serum tube","SKIN1004 Hyalu-Cica Water-Fit Sun Serum","A sunscreen for customers who want hydration and daily sun protection without a sticky finish. Key Ingredient: Hyaluronic Acid + Centella What It Helps With: Deep hydration plus SPF 50 protection without feeling sticky. Best Skin Type: Dry / Dehydrated"
"SKIN1004 Poremizing Fresh Ampoule","skin1004-poremizing-fresh-ampoule","<p>A cleaner option for customers worried about large pores, shine, and an oily T-zone.</p><ul><li><strong>Key Ingredient:</strong> Pink Himalayan Salt</li><li><strong>What It Helps With:</strong> Tightens the look of large pores and helps control excess oil.</li><li><strong>Best Skin Type:</strong> Oily / Combination</li></ul>","SKIN1004","Pore care ampoule","source-static-catalog, source-id-skin1004-poremizing-fresh-ampoule, brand-skin1004, category-pore-care-ampoule, skin-oily, pores, oil-control, fresh-finish, card-pore-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/poremizing-fresh-ampoule.png","1","SKIN1004 Poremizing Fresh Ampoule bottle","SKIN1004 Poremizing Fresh Ampoule","A cleaner option for customers worried about large pores, shine, and an oily T-zone. Key Ingredient: Pink Himalayan Salt What It Helps With: Tightens the look of large pores and helps control excess oil. Best Skin Type: Oily / Combination"
"SKIN1004 Tea-Trica Relief Ampoule","skin1004-tea-trica-relief-ampoule","<p>A targeted option for customers who want a calmer emergency product for angry breakouts.</p><ul><li><strong>Key Ingredient:</strong> Tea Tree + Centella</li><li><strong>What It Helps With:</strong> &quot;SOS&quot; care for active breakouts and inflamed skin.</li><li><strong>Best Skin Type:</strong> Acne-prone / Oily</li></ul>","SKIN1004","Breakout care ampoule","source-static-catalog, source-id-skin1004-tea-trica-relief-ampoule, brand-skin1004, category-breakout-care-ampoule, skin-oily, breakouts, oilier-skin, calming-care, card-sos-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/tea-trica-relief-ampoule.png","1","SKIN1004 Tea-Trica Relief Ampoule bottle","SKIN1004 Tea-Trica Relief Ampoule","A targeted option for customers who want a calmer emergency product for angry breakouts. Key Ingredient: Tea Tree + Centella What It Helps With: ""SOS"" care for active breakouts and inflamed skin. Best Skin Type: Acne-prone / Oily"
"SKIN1004 Tone Brightening Capsule Ampoule","skin1004-tone-brightening-capsule-ampoule","<p>A simple brightening pick for customers dealing with dullness and leftover post-acne marks.</p><ul><li><strong>Key Ingredient:</strong> Niacinamide + Tranexamic Acid</li><li><strong>What It Helps With:</strong> Fades dark spots and brightens dull-looking skin.</li><li><strong>Best Skin Type:</strong> Dull / Hyperpigmentation</li></ul>","SKIN1004","Brightening ampoule","source-static-catalog, source-id-skin1004-tone-brightening-capsule-ampoule, brand-skin1004, category-brightening-ampoule, skin-all, dark-spots, brighter-tone, glow-care, card-brightening","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/tone-brightening-capsule-ampoule.png","1","SKIN1004 Tone Brightening Capsule Ampoule bottle","SKIN1004 Tone Brightening Capsule Ampoule","A simple brightening pick for customers dealing with dullness and leftover post-acne marks. Key Ingredient: Niacinamide + Tranexamic Acid What It Helps With: Fades dark spots and brightens dull-looking skin. Best Skin Type: Dull / Hyperpigmentation"
"SKIN1004 Centella Light Cleansing Oil","skin1004-centella-light-cleansing-oil","<p>A lightweight first cleanse for customers who want something gentle but effective on makeup and sunscreen.</p><ul><li><strong>Key Ingredient:</strong> Centella Oil</li><li><strong>What It Helps With:</strong> Melts away makeup and blackheads gently.</li><li><strong>Best Skin Type:</strong> All (Even Sensitive)</li></ul>","SKIN1004","Gentle oil cleanser","source-static-catalog, source-id-skin1004-centella-light-cleansing-oil, brand-skin1004, category-gentle-oil-cleanser, skin-sensitive, makeup-removal, gentle-cleanse, sensitive-skin, card-gentle-cleanser","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/skin1004/centella-light-cleansing-oil.png","1","SKIN1004 Centella Light Cleansing Oil bottle","SKIN1004 Centella Light Cleansing Oil","A lightweight first cleanse for customers who want something gentle but effective on makeup and sunscreen. Key Ingredient: Centella Oil What It Helps With: Melts away makeup and blackheads gently. Best Skin Type: All (Even Sensitive)"
"COSRX Advanced Snail 96 Mucin Essence","cosrx-advanced-snail-96-mucin-essence","<p>A bestselling COSRX essence for customers who want repair support, extra hydration, and a glass-skin glow.</p><ul><li><strong>Key Ingredient:</strong> 96% Snail Mucin</li><li><strong>What It Helps With:</strong> Repairs skin damage and creates a &quot;glass skin&quot; glow.</li><li><strong>Best Skin Type:</strong> All / Dehydrated</li></ul>","COSRX","Glow essence","source-static-catalog, source-id-cosrx-advanced-snail-96-mucin-essence, brand-cosrx, category-glow-essence, skin-dry, cosrx, glow-care, hydration, card-global-bestseller","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/advanced-snail-96-mucin-essence.jpg","1","COSRX Advanced Snail 96 Mucin Essence bottle","COSRX Advanced Snail 96 Mucin Essence","A bestselling COSRX essence for customers who want repair support, extra hydration, and a glass-skin glow. Key Ingredient: 96% Snail Mucin What It Helps With: Repairs skin damage and creates a ""glass skin"" glow. Best Skin Type: All / Dehydrated"
"COSRX Low pH Good Morning Gel Cleanser","cosrx-low-ph-good-morning-gel-cleanser","<p>A gentle daily COSRX cleanser for customers who want clean skin without stripping away natural moisture.</p><ul><li><strong>Key Ingredient:</strong> Tea Tree Oil + BHA</li><li><strong>What It Helps With:</strong> Cleanses gently without stripping your skin&#39;s natural oils.</li><li><strong>Best Skin Type:</strong> All / Sensitive</li></ul>","COSRX","Daily gel cleanser","source-static-catalog, source-id-cosrx-low-ph-good-morning-gel-cleanser, brand-cosrx, category-daily-gel-cleanser, skin-sensitive, cosrx, daily-cleanse, balanced-skin, card-daily-essential","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/low-ph-good-morning-gel-cleanser.jpg","1","COSRX Low pH Good Morning Gel Cleanser tube","COSRX Low pH Good Morning Gel Cleanser","A gentle daily COSRX cleanser for customers who want clean skin without stripping away natural moisture. Key Ingredient: Tea Tree Oil + BHA What It Helps With: Cleanses gently without stripping your skin's natural oils. Best Skin Type: All / Sensitive"
"COSRX Aloe Soothing Sun Cream","cosrx-aloe-soothing-sun-cream","<p>A light daily sunscreen for customers who want sun protection that feels more like a soft moisturizer.</p><ul><li><strong>Key Ingredient:</strong> Aloe Vera Leaf Extract</li><li><strong>What It Helps With:</strong> Protects from the sun while feeling like a light moisturizer.</li><li><strong>Best Skin Type:</strong> Dry / Sensitive</li></ul>","COSRX","Daily sunscreen","source-static-catalog, source-id-cosrx-aloe-soothing-sun-cream, brand-cosrx, category-daily-sunscreen, skin-dry, skin-sensitive, cosrx, sun-care, daily-hydration, card-light-spf","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/aloe-soothing-sun-cream.jpg","1","COSRX Aloe Soothing Sun Cream tube","COSRX Aloe Soothing Sun Cream","A light daily sunscreen for customers who want sun protection that feels more like a soft moisturizer. Key Ingredient: Aloe Vera Leaf Extract What It Helps With: Protects from the sun while feeling like a light moisturizer. Best Skin Type: Dry / Sensitive"
"COSRX BHA Blackhead Power Liquid","cosrx-bha-blackhead-power-liquid","<p>A strong pore-care pick for customers dealing with blackheads, excess oil, and repeated breakouts.</p><ul><li><strong>Key Ingredient:</strong> 4% Betaine Salicylate</li><li><strong>What It Helps With:</strong> Deeply cleans pores to remove blackheads and prevent acne.</li><li><strong>Best Skin Type:</strong> Oily / Acne-prone</li></ul>","COSRX","Pore care liquid","source-static-catalog, source-id-cosrx-bha-blackhead-power-liquid, brand-cosrx, category-pore-care-liquid, skin-oily, cosrx, blackheads, oil-control, card-blackhead-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/bha-blackhead-power-liquid.jpg","1","COSRX BHA Blackhead Power Liquid bottle","COSRX BHA Blackhead Power Liquid","A strong pore-care pick for customers dealing with blackheads, excess oil, and repeated breakouts. Key Ingredient: 4% Betaine Salicylate What It Helps With: Deeply cleans pores to remove blackheads and prevent acne. Best Skin Type: Oily / Acne-prone"
